# --sessions 630 --app-url=http://shinyloadtest.rstudioservices.com/cran_explorer --output-dir test630 --overwrite-output --log-level warn --start-interval 800 15min.log
thread_id,event,timestamp,input_line_number,comment
115,PLAYER_SESSION_CREATE,1516295501157
115,PLAYER_START_INTERVAL_START,1516295501157
115,PLAYER_START_INTERVAL_END,1516295593157
115,REQ_HOME_START,1516295593157,2
115,REQ_HOME_END,1516295593251,2
115,REQ_START,1516295593251,3
115,REQ_END,1516295593299,3
115,REQ_START,1516295593299,4
115,REQ_END,1516295593328,4
115,REQ_START,1516295593328,5
115,REQ_END,1516295593361,5
115,REQ_START,1516295593361,6
115,REQ_END,1516295593393,6
115,REQ_START,1516295593393,7
115,REQ_END,1516295593425,7
115,REQ_START,1516295593425,8
115,REQ_END,1516295593459,8
115,REQ_START,1516295593459,9
115,REQ_END,1516295593495,9
115,REQ_START,1516295593495,10
115,REQ_END,1516295593503,10
115,REQ_START,1516295593503,11
115,REQ_END,1516295593534,11
115,REQ_START,1516295593534,12
115,REQ_END,1516295593544,12
115,REQ_START,1516295593544,13
115,REQ_END,1516295593575,13
115,REQ_START,1516295593575,14
115,REQ_END,1516295593589,14
115,REQ_START,1516295593589,15
115,REQ_END,1516295593623,15
115,REQ_TOK_START,1516295593623,16
115,REQ_TOK_END,1516295593631,16
115,REQ_SINF_START,1516295593631,17
115,REQ_SINF_END,1516295593641,17
115,WS_OPEN_START,1516295593641,18
115,WS_OPEN_END,1516295593657,18
115,REQ_START,1516295593657,19
115,REQ_END,1516295593757,19
115,WS_RECV_START,1516295593757,20
115,WS_RECV_END,1516295593757,20
115,PLAYER_SLEEPBEFORE_START,1516295593757,21
115,PLAYER_SLEEPBEFORE_END,1516295593762,21
115,WS_SEND_START,1516295593762,21
115,WS_SEND_END,1516295593762,21
115,PLAYER_SLEEPBEFORE_START,1516295593762,22
115,PLAYER_SLEEPBEFORE_END,1516295593763,22
115,WS_SEND_START,1516295593763,22
115,WS_SEND_END,1516295593763,22
115,WS_RECV_INIT_START,1516295593763,23
115,WS_RECV_INIT_END,1516295593782,23
115,WS_RECV_START,1516295593782,24
115,WS_RECV_END,1516295593858,24
115,PLAYER_SLEEPBEFORE_START,1516295593858,25
115,PLAYER_SLEEPBEFORE_END,1516295593865,25
115,REQ_START,1516295593865,25
115,REQ_END,1516295593898,25
115,PLAYER_SLEEPBEFORE_START,1516295593898,26
115,PLAYER_SLEEPBEFORE_END,1516295593899,26
115,REQ_START,1516295593899,26
115,REQ_END,1516295593931,26
115,PLAYER_SLEEPBEFORE_START,1516295593931,27
115,PLAYER_SLEEPBEFORE_END,1516295593934,27
115,REQ_START,1516295593934,27
115,REQ_END,1516295593965,27
115,PLAYER_SLEEPBEFORE_START,1516295593965,28
115,PLAYER_SLEEPBEFORE_END,1516295594250,28
115,REQ_START,1516295594250,28
115,REQ_END,1516295594281,28
115,PLAYER_SLEEPBEFORE_START,1516295594281,29
115,PLAYER_SLEEPBEFORE_END,1516295594456,29
115,WS_SEND_START,1516295594456,29
115,WS_SEND_END,1516295594456,29
115,WS_RECV_START,1516295594456,30
115,WS_RECV_END,1516295594563,30
115,PLAYER_SLEEPBEFORE_START,1516295594563,31
115,PLAYER_SLEEPBEFORE_END,1516295594574,31
115,REQ_START,1516295594574,31
115,REQ_END,1516295594606,31
115,PLAYER_SLEEPBEFORE_START,1516295594606,32
115,PLAYER_SLEEPBEFORE_END,1516295622751,32
115,WS_SEND_START,1516295622751,32
115,WS_SEND_END,1516295622751,32
115,WS_RECV_START,1516295622751,33
115,WS_RECV_END,1516295622887,33
115,PLAYER_SLEEPBEFORE_START,1516295622887,34
115,PLAYER_SLEEPBEFORE_END,1516295648798,34
115,WS_SEND_START,1516295648798,34
115,WS_SEND_END,1516295648798,34
115,WS_RECV_START,1516295648798,35
115,WS_RECV_END,1516295648944,35
115,PLAYER_SLEEPBEFORE_START,1516295648944,36
115,PLAYER_SLEEPBEFORE_END,1516295648953,36
115,WS_SEND_START,1516295648953,36
115,WS_SEND_END,1516295648953,36
115,WS_RECV_START,1516295648953,37
115,WS_RECV_END,1516295648994,37
115,PLAYER_SLEEPBEFORE_START,1516295648994,38
115,PLAYER_SLEEPBEFORE_END,1516295652189,38
115,WS_SEND_START,1516295652189,38
115,WS_SEND_END,1516295652189,38
115,WS_RECV_START,1516295652189,39
115,WS_RECV_END,1516295652311,39
115,PLAYER_SLEEPBEFORE_START,1516295652311,40
115,PLAYER_SLEEPBEFORE_END,1516295652357,40
115,WS_SEND_START,1516295652357,40
115,WS_SEND_END,1516295652357,40
115,WS_RECV_START,1516295652357,41
115,WS_RECV_END,1516295652472,41
115,PLAYER_SLEEPBEFORE_START,1516295652472,42
115,PLAYER_SLEEPBEFORE_END,1516295670607,42
115,WS_SEND_START,1516295670607,42
115,WS_SEND_END,1516295670607,42
115,WS_RECV_START,1516295670607,43
115,WS_RECV_END,1516295670654,43
115,PLAYER_SLEEPBEFORE_START,1516295670654,44
115,PLAYER_SLEEPBEFORE_END,1516295670666,44
115,WS_SEND_START,1516295670666,44
115,WS_SEND_END,1516295670667,44
115,WS_RECV_START,1516295670667,45
115,WS_RECV_END,1516295670718,45
115,PLAYER_SLEEPBEFORE_START,1516295670718,46
115,PLAYER_SLEEPBEFORE_END,1516295671978,46
115,WS_SEND_START,1516295671978,46
115,WS_SEND_END,1516295671978,46
115,WS_RECV_START,1516295671978,47
115,WS_RECV_END,1516295672004,47
115,PLAYER_SLEEPBEFORE_START,1516295672004,48
115,PLAYER_SLEEPBEFORE_END,1516295673324,48
